layer,label,index,theta,radius,x,y
φ₀,Hush / Cradle,0,0.0,0.0,0.0,0.0
φ₀,Hush / Cradle,1,2.399963229728653,1.0,-0.7373688780783197,0.6754902942615238
φ₀,Hush / Cradle,2,4.799926459457306,1.4142135623730951,0.12363864559502138,-1.4087985964343621
φ₀,Hush / Cradle,3,7.199889689185959,1.7320508075688772,1.0538470205147268,1.3745568221620497
φ₀,Hush / Cradle,4,9.599852918914612,2.0,-1.9694269706308574,-0.3483639007586233
φ₀,Hush / Cradle,5,11.999816148643266,2.23606797749979,1.8866941955758958,-1.2001604111035422
φ₀,Hush / Cradle,6,14.399779378371917,2.449489742783178,-0.635898082038553,2.3655091691345627
φ₀,Hush / Cradle,7,16.799742608100573,2.6457513110645907,-1.2194453649142762,-2.347967845177844
φ₀,Hush / Cradle,8,19.199705837829224,2.8284271247461903,2.6568018333748897,0.9702597684001061
φ₀,Hush / Cradle,9,21.599669067557876,3.0,-2.773036668413414,1.1446692254248088
φ₀,Hush / Cradle,10,23.99963229728653,3.1622776601683795,1.3403187214918457,-2.864183256151475
φ₀,Hush / Cradle,11,26.399595527015183,3.3166247903554,0.9926122841712307,3.1646043754808235
φ₀,Hush / Cradle,12,28.799558756743835,3.4641016151377544,-2.9971795491414537,-1.7369268119895633
φ₀,Hush / Cradle,13,31.19952198647249,3.605551275463989,3.521454581319849,-0.7741819112466066
φ₀,Hush / Cradle,14,33.599485216201145,3.7416573867739413,-2.1519372768917853,3.0609093348747796
φ₀,Hush / Cradle,15,35.999448445929794,3.872983346207417,-0.49771976140112834,-3.8408690473785754
φ₀,Hush / Cradle,16,38.39941167565845,4.0,3.058595981824173,2.577787931535297
φ₀,Hush / Cradle,17,40.799374905387104,4.123105625617661,-4.119584716091114,0.17035776163269098
φ₀,Hush / Cradle,18,43.19933813511575,4.242640687119285,3.0073085133506017,-2.992673638325601
φ₀,Hush / Cradle,19,45.59930136484441,4.358898943540674,-0.20134384491006577,4.354246278762472
φ₀,Hush / Cradle,20,47.99926459457306,4.47213595499958,-2.8653384038891683,-3.4336330367699275
φ₀,Hush / Cradle,21,50.39922782430171,4.58257569495584,4.541650602805143,0.6110726651059321
φ₀,Hush / Cradle,22,52.799191054030366,4.69041575982343,-3.850166880287243,2.6788458324321702
φ₀,Hush / Cradle,23,55.19915428375902,4.795831523312719,1.0525956694116374,-4.678893283324152
φ₀,Hush / Cradle,24,57.59911751348767,4.898979485566356,2.435678907070912,4.250584461182937
φ₀,Hush / Cradle,25,59.999080743216325,5.0,-4.7634638859834535,-1.519674901724516
φ₀,Hush / Cradle,26,62.39904397294498,5.0990195135927845,4.62884470441333,-2.1386436595245724
φ₀,Hush / Cradle,27,64.79900720267364,5.196152422706632,-2.006032227609403,4.79331145470357
φ₀,Hush / Cradle,28,67.19897043240229,5.291502622129181,-1.7909211243064769,-4.97921695917268
φ₀,Hush / Cradle,29,69.59893366213093,5.385164807134504,4.766891005950999,2.5053443151358374
φ₀,Hush / Cradle,30,71.99889689185959,5.477225575051661,-5.296312842870199,1.3960910681070222
φ₀,Hush / Cradle,31,74.39886012158824,5.5677643628300215,3.0112570857032286,-4.683196639454945
φ₀,Hush / Cradle,32,76.7988233513169,5.656854249492381,0.9581363211912816,5.575121056086051
φ₀,Hush / Cradle,33,79.19878658104555,5.744562646538029,-4.541784358263451,-3.5174130896204754
φ₀,Hush / Cradle,34,81.59874981077421,5.830951894845301,5.811043126965286,-0.4814330447211802
φ₀,Hush / Cradle,35,83.99871304050286,5.916079783099616,-4.017487592669849,4.342786368536199
φ₀,Hush / Cradle,36,86.3986762702315,6.0,0.029269662980670484,-5.999928606811
φ₀,Hush / Cradle,37,88.79863949996016,6.082762530298219,4.0869179180944695,4.505230508060421
φ₀,Hush / Cradle,38,91.19860272968882,6.164414002968976,-6.1381086030632295,-0.5688785256987186
φ₀,Hush / Cradle,39,93.59856595941747,6.244997998398398,4.974512119299716,-3.7754773439844995
φ₀,Hush / Cradle,40,95.99852918914613,6.324555320336759,-1.131991572873186,6.222426783735112
φ₀,Hush / Cradle,41,98.39849241887478,6.4031242374328485,-3.4103397878411563,-5.419371045745764
φ₀,Hush / Cradle,42,100.79845564860342,6.48074069840786,6.250267164954253,1.7129391018640276
φ₀,Hush / Cradle,43,103.19841887833208,6.557438524302,-5.834063230160403,2.993944927097081
φ₀,Hush / Cradle,44,105.59838210806073,6.6332495807108,2.3058291171073653,-6.2195781273893385
φ₀,Hush / Cradle,45,107.99834533778939,6.708203932499369,2.5292790181008407,6.213110947713299
φ₀,Hush / Cradle,46,110.39830856751804,6.782329983125268,-6.128892214086734,-2.904596396766168
φ₀,Hush / Cradle,47,112.7982717972467,6.855654600401044,6.5513509901593245,-2.0198515301225584
φ₀,Hush / Cradle,48,115.19823502697534,6.928203230275509,-3.503054434163047,5.977341351411228
φ₀,Hush / Cradle,49,117.598198256704,7.0,-1.4696666530084996,-6.843981292276798
φ₀,Hush / Cradle,50,119.99816148643265,7.0710678118654755,5.76466721247869,4.09494956371543
φ₀,Hush / Cradle,51,122.3981247161613,7.14142842854285,-7.086605355446325,0.8831899773884733
φ₀,Hush / Cradle,52,124.79808794588996,7.211102550927978,4.674016622598716,-5.49122651250801
φ₀,Hush / Cradle,53,127.19805117561862,7.280109889280518,0.2653106694985794,7.275273895094961
φ₀,Hush / Cradle,54,129.59801440534727,7.3484692283495345,-5.157991090299893,-5.234035528384091
φ₀,Hush / Cradle,55,131.99797763507593,7.416198487095663,7.406523200751739,0.37870051059672993
φ₀,Hush / Cradle,56,134.39794086480458,7.483314773547883,-5.768888174883491,4.766542691059153
φ₀,Hush / Cradle,57,136.79790409453324,7.54983443527075,1.043236970610896,-7.47740975359453
φ₀,Hush / Cradle,58,139.19786732426186,7.615773105863909,4.319062423897525,6.272615066977762
φ₀,Hush / Cradle,59,141.59783055399052,7.681145747868608,-7.485540699153151,-1.7224054230412074
φ₀,Hush / Cradle,60,143.99779378371917,7.745966692414834,6.739471132676981,-3.818314923079766
φ₀,Hush / Cradle,61,146.39775701344783,7.810249675906654,-2.410077966943256,7.429099823885439
φ₀,Hush / Cradle,62,148.79772024317649,7.874007874011811,-3.267627295640393,-7.163980168648281
φ₀,Hush / Cradle,63,151.19768347290514,7.937253933193772,7.306868734670485,3.0999466599112546
φ₀,Hush / Cradle,64,153.5976467026338,8.0,-7.5409873950070185,2.67086298943717
φ₀,Hush / Cradle,65,155.99760993236245,8.06225774829855,3.785580104670517,-7.118242990452261
φ₀,Hush / Cradle,66,158.3975731620911,8.12403840463596,2.03239076497276,7.865709616967401
φ₀,Hush / Cradle,67,160.79753639181976,8.18535277187245,-6.86324298562459,-4.46048155699302
φ₀,Hush / Cradle,68,163.19749962154842,8.246211251235321,8.133782515425388,-1.3570490012376957
φ₀,Hush / Cradle,69,165.59746285127707,8.306623862918075,-5.1181480476641,6.542519435369845
φ₀,Hush / Cradle,70,167.99742608100573,8.366600265340756,-0.6501056102210901,-8.341304615919446
φ₀,Hush / Cradle,71,170.39738931073435,8.426149773176359,6.157353364008793,5.752130001202129
φ₀,Hush / Cradle,72,172.797352540463,8.48528137423857,-8.484877515776738,-0.0827861236340914
φ₀,Hush / Cradle,73,175.19731577019166,8.54400374531753,6.356090828162587,-5.709650548338964
φ₀,Hush / Cradle,74,177.59727899992032,8.602325267042627,-0.8356354241304723,8.561641982583614
φ₀,Hush / Cradle,75,179.99724222964898,8.660254037844387,-5.201930418721217,-6.923865966263566
φ₀,Hush / Cradle,76,182.39720545937763,8.717797887081348,8.569309573315453,1.6021652338894832
φ₀,Hush / Cradle,77,184.7971686891063,8.774964387392123,-7.449520848340097,4.637309471034498
φ₀,Hush / Cradle,78,187.19713191883494,8.831760866327848,2.3758663326403617,-8.506189462351873
φ₀,Hush / Cradle,79,189.5970951485636,8.888194417315589,4.019479292270886,7.927407282271141
φ₀,Hush / Cradle,80,191.99705837829225,8.94427190999916,-8.371210207962406,-3.1500539128887963
φ₀,Hush / Cradle,81,194.3970216080209,9.0,8.352217739526044,-3.352679351137899
φ₀,Hush / Cradle,82,196.79698483774956,9.055385138137417,-3.917926138387042,8.163936230406483
φ₀,Hush / Cradle,83,199.19694806747822,9.1104335791443,-2.6416647522428898,-8.719037064765669
φ₀,Hush / Cradle,84,201.59691129720684,9.16515138991168,7.884578820243295,4.6726241906845924
φ₀,Hush / Cradle,85,203.9968745269355,9.219544457292887,-9.0233911389071,1.8916691979024318
φ₀,Hush / Cradle,86,206.39683775666415,9.273618495495704,5.407293293162175,-7.5340015424556
φ₀,Hush / Cradle,87,208.7968009863928,9.327379053088816,1.1083634450004227,9.261292052072799
φ₀,Hush / Cradle,88,211.19676421612147,9.38083151964686,-7.113719950202414,-6.115144190457997
